encoding,auroc,f1,task,type,dataset
WCYKMVHQFDGRLITNEASP,0.7453665335643787,0.8289649044868947,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7099786255026216,0.8235294117647058,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7492396148125826,0.8322981366459627,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7515535576260355,0.8281461434370772,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.752399747747446,0.8310174809502465,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.6917705394688745,0.8076271186440678,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7431404884881868,0.8262032085561497,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7493714614184741,0.8217550274223034,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7389116306844026,0.8248337028824834,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7332924539094958,0.7451820128479657,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.739580630129112,0.8328267477203647,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7564018851971839,0.8048543689320389,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.741672038195055,0.8289241622574955,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.749764908432881,0.7689889994761655,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7491503218731426,0.8306595365418895,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7165207285187697,0.8164859002169197,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7457669565896795,0.8278322925958965,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7357487073451814,0.808294930875576,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7429179537406765,0.8263579697239537,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7493261173476649,0.8163265306122449,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7486159594386823,0.8293118856121537,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.766375487971962,0.8246356370474848,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7523111524090956,0.8336298932384342,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.6677081850931018,0.5513955071477196,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7481708899436618,0.8296164139161463,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7652579310267851,0.7905544147843943,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7454997753724493,0.8271549799017418,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7291647482636707,0.8321976149914821,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7417606335334053,0.8262994224788983,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7446528876499494,0.8198362147406734,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7417166846647748,0.8297404311482622,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7551113231818422,0.8069330765527203,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7439866786095974,0.829052258635961,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.73579474901708,0.8183041722745625,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7430958420184669,0.825368468066101,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7490170800650723,0.8324468085106383,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7474139927616911,0.8284182305630027,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7529292269742809,0.7998046875,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7421617541597954,0.8294402820625827,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7299509446913951,0.7158252977878616,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7470135697363904,0.8295505117935025,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7530143343071845,0.7689873417721519,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7485273641003318,0.8319290465631929,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7687354724573138,0.8301535597952536,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7424735818467454,0.8309178743961353,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7420717636192661,0.8234767025089605,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7425621771850959,0.8283185840707965,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7552850258530963,0.7735849056603774,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7471914580141809,0.8285714285714286,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7574273587985636,0.8165959453088166,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7468356814586001,0.8305235137533274,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7471802963967509,0.7433628318584071,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7463459654938596,0.8300044385264093,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.738421914719662,0.8243123336291038,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7464352584332996,0.831639416703491,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7370734518139023,0.7199087278950371,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7388676818157719,0.8282828282828283,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7644584801783626,0.803960396039604,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.748660605908402,0.8301382077574677,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7709559367247908,0.7938144329896907,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7418059776042147,0.8313622426631625,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7235532451007476,0.8139946855624446,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.750307642080414,0.8307280035730237,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7565386150107012,0.82638570774164,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.741582745255615,0.8272807794508414,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7547122953587204,0.8177570093457944,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7525783336263256,0.8342958685028876,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7415318203760908,0.7830845771144279,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7467463885191604,0.8288770053475936,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.749408434276211,0.7658227848101266,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7399803555533231,0.827525363917071,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7551092303785741,0.7915831663326653,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7520439711918654,0.8329621380846325,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7258553286956813,0.7116912599318955,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7482155364133817,0.8304405874499332,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7569815917024536,0.8122020972354623,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7483048293528214,0.8320779796189632,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7474035287453505,0.7495908346972177,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7427407630639755,0.8315789473684211,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7194436770832461,0.693069306930693,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7465685002413699,0.8298533984895602,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7413051000220442,0.7481081081081081,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7447435757915679,0.830238726790451,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7534147573324852,0.7673555908850026,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7475032857011308,0.8300711743772242,binary,custom,deeploc
