Accuracy,Class0_Accuracy,Class1_Accuracy,Train_Class0_Count,Train_Class1_Count,Dataset,Ratio
0.6593014967925873,0.8532763532763533,0.46504992867332384,2103,2104,Q3,0.9
0.6528866714183892,0.8547008547008547,0.4507845934379458,2103,2104,Q3,0.9
0.6735566642908054,0.8433048433048433,0.5035663338088445,2104,2104,Q3,0.9
0.6607270135424091,0.8589743589743589,0.46219686162624823,2104,2104,Q3,0.9
0.6635780470420527,0.8404558404558404,0.4864479315263909,2104,2104,Q3,0.9
0.6685673556664291,0.8247863247863247,0.5121255349500713,2103,2105,Q3,0.9
0.6657163221667854,0.8461538461538461,0.48502139800285304,2103,2105,Q3,0.9
0.5930149679258732,0.8532763532763533,0.33238231098430815,3787,3788,Q2,0.5
0.5908766928011404,0.8532763532763533,0.3281027104136947,3787,3788,Q2,0.5
0.5787598004276551,0.6894586894586895,0.46790299572039945,3787,3788,Q2,0.5
0.6115466856735566,0.7849002849002849,0.43794579172610554,3787,3788,Q2,0.5
0.5673556664290805,0.6695156695156695,0.46504992867332384,3787,3788,Q2,0.5
0.5652173913043478,0.6566951566951567,0.47360912981455067,3787,3788,Q2,0.5
0.5687811831789024,0.6609686609686609,0.4764621968616263,3787,3788,Q2,0.5
0.5730577334283677,0.6923076923076923,0.4536376604850214,3788,3788,Q2,0.5
0.586600142551675,0.8803418803418803,0.29243937232524964,3788,3788,Q2,0.5
0.5873129009265858,0.8945868945868946,0.2796005706134094,3787,3789,Q2,0.5
0.6186742694226657,0.4358974358974359,0.8017118402282454,3156,3157,Q2,0.6
0.5488239486813971,0.5213675213675214,0.5763195435092725,3156,3157,Q2,0.6
0.5894511760513186,0.7492877492877493,0.42938659058487877,3156,3157,Q2,0.6
0.4982181040627227,0.005698005698005698,0.9914407988587732,3156,3157,Q2,0.6
0.5488239486813971,0.23646723646723647,0.8616262482168331,3156,3157,Q2,0.6
0.5837491090520314,0.7336182336182336,0.43366619115549215,3157,3157,Q2,0.6
0.6414825374198146,0.5797720797720798,0.703281027104137,3157,3157,Q2,0.6
0.5545260156806843,0.5982905982905983,0.5106990014265336,3157,3157,Q2,0.6
0.6044191019244476,0.8689458689458689,0.33951497860199714,3156,3158,Q2,0.6
0.49964362081254454,0.0,1.0,3156,3158,Q2,0.6
0.5894511760513186,0.7407407407407407,0.43794579172610554,2704,2705,Q2,0.7
0.5951532430506058,0.7635327635327636,0.42653352353780316,2705,2705,Q2,0.7
0.594440484675695,0.7521367521367521,0.43651925820256776,2705,2705,Q2,0.7
0.6079828937990022,0.7849002849002849,0.43081312410841655,2705,2705,Q2,0.7
0.5823235923022095,0.6994301994301995,0.46504992867332384,2705,2705,Q2,0.7
0.5987170349251604,0.8176638176638177,0.37945791726105566,2705,2705,Q2,0.7
0.5980042765502495,0.8247863247863247,0.37089871611982883,2704,2706,Q2,0.7
0.5951532430506058,0.7849002849002849,0.4051355206847361,2704,2706,Q2,0.7
0.5837491090520314,0.6937321937321937,0.47360912981455067,2704,2706,Q2,0.7
0.5894511760513186,0.7350427350427351,0.44365192582025675,2704,2706,Q2,0.7
0.6628652886671419,0.792022792022792,0.5335235378031383,2367,2367,Q2,0.8
0.6642908054169636,0.811965811965812,0.5164051355206848,2367,2368,Q2,0.8
0.6528866714183892,0.8262108262108262,0.4793152639087018,2367,2368,Q2,0.8
0.6528866714183892,0.8319088319088319,0.47360912981455067,2367,2368,Q2,0.8
0.6756949394155382,0.7792022792022792,0.572039942938659,2367,2368,Q2,0.8
0.6571632216678546,0.8133903133903134,0.5007132667617689,2367,2368,Q2,0.8
0.6528866714183892,0.8290598290598291,0.4764621968616263,2367,2368,Q2,0.8
0.6557377049180327,0.8034188034188035,0.5078459343794579,2367,2368,Q2,0.8
0.6478973627940128,0.8190883190883191,0.4764621968616263,2367,2368,Q2,0.8
0.6742694226657163,0.7934472934472935,0.5549215406562055,2367,2368,Q2,0.8
0.662152530292231,0.8575498575498576,0.4664764621968616,2103,2104,Q2,0.9
0.6664290805416964,0.8475783475783476,0.48502139800285304,2103,2104,Q2,0.9
0.654312188168211,0.8931623931623932,0.41512125534950073,2103,2104,Q2,0.9
